route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-20682,1,"Bowness/Forest Lawn",,3,,,
2-20682,2,"Mount Pleasant/Killarney 17 Av SW",,3,,,
3-20682,3,"Sandstone/Elbow Dr SW",,3,,,
4-20682,4,"Huntington",,3,,,
5-20682,5,"North Haven",,3,,,
6-20682,6,"Killarney/26 Av SW",,3,,,
7-20682,7,"Marda Loop",,3,,,
8-20682,8,"North Pointe Terminal/Foothills Medical Centre",,3,,,
9-20682,9,"Dalhousie Station/Chinook Station",,3,,,
10-20682,10,"City Hall/Southcentre",,3,,,
11-20682,11,"Southwest Loop",,3,,,
12-20682,12,"Southwest Loop",,3,,,
13-20682,13,"Altadore",,3,,,
14-20682,14,"Bridlewood/Cranston",,3,,,
15-20682,15,"Millrise",,3,,,
17-20682,17,"Renfrew/Ramsay",,3,,,
19-20682,19,"16 Ave N",,3,,,
20-20682,20,"Heritage Station/Northmount Dr N",,3,,,
21-20682,21,"Castleridge",,3,,,
22-20682,22,"Richmond Rd SW",,3,,,
23-20682,23,"52 St E",,3,,,
24-20682,24,"Ogden",,3,,,
27-20682,27,"Willowglen",,3,,,
28-20682,28,"Deer Run",,3,,,
29-20682,29,"Queensland",,3,,,
30-20682,30,"Highfield Industrial",,3,,,
31-20682,31,"Dalhousie Station/Lions Park Station",,3,,,
32-20682,32,"Huntington/Sunridge",,3,,,
33-20682,33,"Vista Heights/Rundle",,3,,,
34-20682,34,"Pineridge",,3,,,
35-20682,35,"Bonavista/Canyon Meadows",,3,,,
36-20682,36,"Riverbend",,3,,,
37-20682,37,"Heritage Station/Canyon Meadows",,3,,,
38-20682,38,"Brentwood Station/Temple",,3,,,
40-20682,40,"Crowfoot Station/North Hill",,3,,,
41-20682,41,"Lynnwood",,3,,,
42-20682,42,"Marlborough",,3,,,
43-20682,43,"McKnight - Westwinds Station/Chinook Station",,3,,,
44-20682,44,"Deer Ridge",,3,,,
46-20682,46,"Beddington",,3,,,
48-20682,48,"Rundle",,3,,,
49-20682,49,"Forest Heights",,3,,,
52-20682,52,"Evergreen/Somerset-Bridlewood Station",,3,,,
53-20682,53,"Brentwood Station/Greenwood",,3,,,
54-20682,54,"Edgevalley",,3,,,
55-20682,55,"Falconridge",,3,,,
56-20682,56,"Woodbine",,3,,,
57-20682,57,"Monterey Park/ McCall Wy NE",,3,,,
58-20682,58,"Erin Woods/44 St SE",,3,,,
59-20682,59,"Savanna",,3,,,
60-20682,60,"Taradale",,3,,,
61-20682,61,"Martindale",,3,,,
62-20682,62,"Hidden Valley Express",,3,,,
64-20682,64,"MacEwan Express",,3,,,
65-20682,65,"Market Mall/Downtown West",,3,,,
66-20682,66,"Lakeview",,3,,,
67-20682,67,"Memorial Dr E",,3,,,
68-20682,68,"68 St E",,3,,,
69-20682,69,"Deerfoot Centre",,3,,,
70-20682,70,"Valley Ridge Express",,3,,,
71-20682,71,"Taradale",,3,,,
74-20682,74,"Tuscany",,3,,,
75-20682,75,"Somerset - Mahogany",,3,,,
76-20682,76,"Hawkwood",,3,,,
77-20682,77,"Edgemont",,3,,,
78-20682,78,"Sundance/Chaparral",,3,,,
79-20682,79,"Cranston / Mahogany",,3,,,
81-20682,81,"Macleod Tr S",,3,,,
82-20682,82,"Nolan Hill",,3,,,
83-20682,83,"Parkland",,3,,,
85-20682,85,"Martin Crossing",,3,,,
86-20682,86,"Coventry Hills",,3,,,
87-20682,87,"Applewood/17 Av SE",,3,,,
88-20682,88,"Harvest Hills",,3,,,
89-20682,89,"Lions Park - North Pointe",,3,,,
90-20682,90,"Bridgeland/University of Calgary",,3,,,
91-20682,91,"Foothills Medical Centre",,3,,,
92-20682,92,"McKenzie Towne",,3,,,
93-20682,93,"Coach Hill/Westbrook Station",,3,,,
95-20682,95,"Palliser",,3,,,
96-20682,96,"McKenzie",,3,,,
97-20682,97,"South Ranchlands/Scenic Acres",,3,,,
98-20682,98,"Cougar Ridge",,3,,,
99-20682,99,"Acadia/Oakridge",,3,,,
100-20682,100,"North Pointe/Airport/McKnight - Westwinds",,3,,,
101-20682,101,"Inglewood",,3,,,
104-20682,104,"Sunnyside/University of Calgary",,3,,,
105-20682,105,"Dalhousie Station/Lions Park Station",,3,,,
106-20682,106,"Southland/Deerfoot Meadows",,3,,,
109-20682,109,"Harvest Hills Express",,3,,,
111-20682,111,"Old Banff Coach Road",,3,,,
113-20682,113,"North Ranchlands/Scenic Acres",,3,,,
114-20682,114,"Panorama/Country Hills",,3,,,
115-20682,115,"Symons Valley Parkway",,3,,,
116-20682,116,"Coventry Hills Express",,3,,,
117-20682,117,"McKenzie Towne Express",,3,,,
118-20682,118,"Hidden Valley",,3,,,
119-20682,119,"Freeport",,3,,,
120-20682,120,"North Silver Springs",,3,,,
123-20682,123,"Sage Hill/North Pointe Terminal",,3,,,
124-20682,124,"Evanston",,3,,,
125-20682,125,"Cedarbrae",,3,,,
126-20682,126,"Braeside",,3,,,
127-20682,127,"Maryvale/Franklin Industrial",,3,,,
128-20682,128,"Cornerstone/Redstone",,3,,,
129-20682,129,"Dalhousie Station/Sage Hill",,3,,,
131-20682,131,"East Bow Express",,3,,,
134-20682,134,"South Silver Springs",,3,,,
135-20682,135,"Erin Woods/36 St SE",,3,,,
138-20682,138,"Citadel",,3,,,
142-20682,142,"Panorama Express",,3,,,
145-20682,145,"Skyview Ranch/Redstone",,3,,,
147-20682,147,"Starfield Industrial",,3,,,
148-20682,148,"Great Plains Industrial",,3,,,
149-20682,149,"Point Trotter Industrial",,3,,,
150-20682,150,"114 Av SE",,3,,,
151-20682,151,"New Brighton Express",,3,,,
152-20682,152,"New Brighton",,3,,,
153-20682,153,"Copperfield",,3,,,
154-20682,154,"Hamptons",,3,,,
155-20682,155,"West Dover/Forest Lawn",,3,,,
156-20682,156,"Aspen Woods",,3,,,
157-20682,157,"Saddletowne Station/Stoney Industrial",,3,,,
158-20682,158,"Royal Oak",,3,,,
159-20682,159,"Saddlebrook",,3,,,
161-20682,161,"North Pointe Terminal/Stoney Industrial",,3,,,
167-20682,167,"Walden/Legacy",,3,,,
168-20682,168,"Walden/Legacy",,3,,,
169-20682,169,"Rocky Ridge",,3,,,
174-20682,174,"Tuscany",,3,,,
178-20682,178,"Sundance/Chaparral",,3,,,
201-20618,201,"Red Line - Somerset - Bridlewood / Tuscany CTrain",,0,,,
201-20666,201,"Red Line - Somerset - Bridlewood/Tuscany CTrain",,0,,,
202-20618,202,"Blue Line - Saddletowne / 69 Street CTrain",,0,,,
202-20666,202,"Blue Line - Saddletowne/69 Street CTrain",,0,,,
299-20682,299,"Arbour Lake",,3,,,
300-20682,300,"BRT Airport/City Centre",,3,,,
301-20682,301,"BRT North/City Centre",,3,,,
302-20682,302,"BRT Southeast/City Centre",,3,,,
303-20682,303,"MAX Orange Brentwood/Saddletowne",,3,,,
304-20682,304,"MAX Yellow Woodpark/City Centre",,3,,,
305-20682,305,"BRT Bowness/City Centre",,3,,,
306-20682,306,"MAX Teal Westbrook/Douglas Glen",,3,,,
307-20682,307,"MAX Purple City Centre/East Hills",,3,,,
402-20682,402,"Silverado",,3,,,
404-20682,404,"North Hill",,3,,,
408-20682,408,"Valley Ridge",,3,,,
414-20682,414,"14 St W",,3,,,
421-20682,421,"Panatella",,3,,,
422-20682,422,"Dalhousie/Montgomery",,3,,,
440-20682,440,"Chateau Estates/Franklin Station",,3,,,
444-20682,444,"Chaparral Valley/Walden",,3,,,
449-20682,449,"Eau Claire/Parkhill",,3,,,
453-20682,453,"West Springs",,3,,,
555-20682,555,"Dashmesh Centre",,3,,,
697-20682,697,"CougarRidge/various schools",,3,,,
698-20682,698,"17th Ave/Western Canada/St. Mary's",,3,,,
699-20682,699,"West Springs/various schools",,3,,,
702-20682,702,"Churchill/Nolan Hill",,3,,,
703-20682,703,"Churchill/Sherwood",,3,,,
704-20682,704,"Churchill/Edgepark Blvd",,3,,,
705-20682,705,"Churchill/Edgebrook Rise",,3,,,
706-20682,706,"Churchill/Edenwold Dr",,3,,,
711-20682,711,"Beaverbrook/Douglasglen",,3,,,
712-20682,712,"Beaverbrook/Parkland",,3,,,
713-20682,713,"Beaverbrook/Deer Run",,3,,,
714-20682,714,"Beaverbrook/Prestwick",,3,,,
715-20682,715,"Beaverbrook/Queensland",,3,,,
718-20682,718,"Beaverbrook/Douglasdale",,3,,,
719-20682,719,"Beaverbrook/McKenzie",,3,,,
721-20682,721,"Bowness/ Valley Ridge",,3,,,
722-20682,722,"Bowness/ Tuscany Ravine",,3,,,
723-20682,723,"Bowness/Tuscany Hills",,3,,,
724-20682,724,"Bowness/Tuscany North",,3,,,
725-20682,725,"Bowness/Silver Springs",,3,,,
731-20682,731,"Central Memorial/Riverbend",,3,,,
732-20682,732,"Central Memorial/Glamorgan",,3,,,
733-20682,733,"Central Memorial/Lakeview",,3,,,
734-20682,734,"Central Memorial/Ogden",,3,,,
736-20682,736,"Diefenbaker/Panorama Hills",,3,,,
737-20682,737,"Diefenbaker/ Harvest Hills",,3,,,
