shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10135,51.052492,-114.117097,10001,0.000
10135,51.052491,-114.116376,10002,0.051
10135,51.052492,-114.115398,10003,0.119
10135,51.052490,-114.114783,10004,0.162
10135,51.052492,-114.112931,10005,0.292
10135,51.052493,-114.112446,10006,0.326
10135,51.052493,-114.112446,20001,0.326
10135,51.052494,-114.110482,20002,0.464
10135,51.052497,-114.108024,20003,0.636
10135,51.052497,-114.107439,20004,0.677
10135,51.052497,-114.107439,30001,0.677
10135,51.052499,-114.106252,30002,0.760
10135,51.052499,-114.105561,30003,0.809
10135,51.052500,-114.104767,30004,0.864
10135,51.052502,-114.104266,30005,0.899
10135,51.052501,-114.103998,30006,0.918
10135,51.052501,-114.103096,30007,0.982
10135,51.052502,-114.102524,30008,1.022
10135,51.052502,-114.102524,40001,1.022
10135,51.052502,-114.102453,40002,1.027
10135,51.052504,-114.101090,40003,1.122
10135,51.052510,-114.100635,40004,1.154
10135,51.052512,-114.100358,40005,1.173
10135,51.052514,-114.098898,40006,1.276
10135,51.052513,-114.098182,40007,1.326
10135,51.052514,-114.097782,40008,1.354
10135,51.052515,-114.097582,40009,1.368
10135,51.052513,-114.097421,40010,1.379
10135,51.052514,-114.097377,40011,1.383
10135,51.052514,-114.097377,50001,1.383
10135,51.052516,-114.097191,50002,1.395
10135,51.052515,-114.097006,50003,1.409
10135,51.052516,-114.096659,50004,1.433
10135,51.052515,-114.096238,50005,1.462
10135,51.052517,-114.096142,50006,1.469
10135,51.052517,-114.095594,50007,1.507
10135,51.052516,-114.095469,50008,1.516
10135,51.052517,-114.095083,50009,1.543
10135,51.052517,-114.094697,50010,1.570
10135,51.052517,-114.094050,50011,1.616
10135,51.052517,-114.094050,60001,1.616
10135,51.052517,-114.093993,60002,1.620
10135,51.052517,-114.093284,60003,1.669
10135,51.052515,-114.091868,60004,1.769
10135,51.052515,-114.091630,60005,1.785
10135,51.052514,-114.091460,60006,1.797
10135,51.052512,-114.091326,60007,1.807
10135,51.052512,-114.091159,60008,1.818
10135,51.052512,-114.091005,60009,1.829
10135,51.052508,-114.090433,60010,1.869
10135,51.052509,-114.090192,60011,1.886
