route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
36-20682,2022SE-1BUSSA-Saturday-05,61259336,"RIVERBEND",0,6280446,360037
36-20682,2022SE-1BUSSA-Saturday-05,61259337,"RIVERBEND",0,6280446,360037
36-20682,2022SE-1BUSSA-Saturday-05,61259338,"RIVERBEND",0,6280446,360037
36-20682,2022SE-1BUSSA-Saturday-05,61259339,"RIVERBEND",0,6280446,360037
36-20682,2022SE-1BUSSA-Saturday-05,61259340,"RIVERBEND",0,6280446,360037
36-20682,2022SE-1BUSSA-Saturday-05,61259341,"RIVERBEND",0,6280446,360037
36-20682,2022SE-1BUSSA-Saturday-05,61259342,"RIVERBEND",0,6280446,360037
36-20682,2022SE-1BUSSA-Saturday-05,61259343,"RIVERBEND",0,6280446,360037
36-20682,2022SE-1BUSSA-Saturday-05,61259344,"RIVERBEND",0,6280446,360037
36-20682,2022SE-1BUSSA-Saturday-05,61259345,"RIVERBEND",0,6280446,360037
41-20682,2022SE-1BUSSA-Saturday-05,61259346,"ROUTE 41",0,6280444,410053
41-20682,2022SE-1BUSSA-Saturday-05,61259347,"ROUTE 41",0,6280444,410053
41-20682,2022SE-1BUSSA-Saturday-05,61259348,"ROUTE 41",0,6280444,410053
41-20682,2022SE-1BUSSA-Saturday-05,61259349,"ROUTE 41",0,6280444,410053
41-20682,2022SE-1BUSSA-Saturday-05,61259350,"ROUTE 41",0,6280444,410053
41-20682,2022SE-1BUSSA-Saturday-05,61259351,"ROUTE 41",0,6280444,410053
41-20682,2022SE-1BUSSA-Saturday-05,61259352,"ROUTE 41",0,6280444,410053
41-20682,2022SE-1BUSSA-Saturday-05,61259353,"ROUTE 41",0,6280444,410053
41-20682,2022SE-1BUSSA-Saturday-05,61259354,"ROUTE 41",0,6280444,410053
41-20682,2022SE-1BUSSA-Saturday-05,61259355,"ROUTE 41",0,6280444,410053
41-20682,2022SE-1BUSSA-Saturday-05,61259356,"ROUTE 41",0,6280444,410053
41-20682,2022SE-1BUSSA-Saturday-05,61259357,"ROUTE 41",0,6280444,410053
41-20682,2022SE-1BUSSA-Saturday-05,61259358,"ROUTE 41",0,6280444,410053
41-20682,2022SE-1BUSSA-Saturday-05,61259359,"ROUTE 41",0,6280444,410053
41-20682,2022SE-1BUSSA-Saturday-05,61259360,"ROUTE 41",0,6280444,410053
28-20682,2022SE-1BUSSA-Saturday-05,61259361,"DEER RUN",0,6280500,280015
28-20682,2022SE-1BUSSA-Saturday-05,61259362,"DEER RUN",0,6280500,280015
28-20682,2022SE-1BUSSA-Saturday-05,61259363,"DEER RUN",0,6280500,280015
28-20682,2022SE-1BUSSA-Saturday-05,61259364,"DEER RUN",0,6280500,280015
28-20682,2022SE-1BUSSA-Saturday-05,61259365,"DEER RUN",0,6280500,280015
28-20682,2022SE-1BUSSA-Saturday-05,61259366,"DEER RUN",0,6280500,280015
28-20682,2022SE-1BUSSA-Saturday-05,61259367,"DEER RUN",0,6280500,280015
28-20682,2022SE-1BUSSA-Saturday-05,61259368,"DEER RUN",0,6280500,280015
28-20682,2022SE-1BUSSA-Saturday-05,61259369,"DEER RUN",0,6280500,280015
83-20682,2022SE-1BUSSA-Saturday-05,61259370,"PARKLAND",0,6280500,830014
83-20682,2022SE-1BUSSA-Saturday-05,61259371,"PARKLAND",0,6280500,830014
83-20682,2022SE-1BUSSA-Saturday-05,61259372,"PARKLAND",0,6280500,830014
83-20682,2022SE-1BUSSA-Saturday-05,61259373,"PARKLAND",0,6280500,830014
83-20682,2022SE-1BUSSA-Saturday-05,61259374,"PARKLAND",0,6280500,830014
83-20682,2022SE-1BUSSA-Saturday-05,61259375,"PARKLAND",0,6280500,830014
83-20682,2022SE-1BUSSA-Saturday-05,61259376,"PARKLAND",0,6280500,830014
83-20682,2022SE-1BUSSA-Saturday-05,61259377,"PARKLAND",0,6280500,830014
4-20682,2022SE-1BUSSA-Saturday-05,61259378,"HUNTINGTON",0,6280447,40066
